price,num_bedrooms,num_bathrooms,size_sqft,rate_per_sqft,lat,long,amenities__num_parking,amenities__pet_friendly,amenities__furnished,amenities__air_conditioning,amenities__smoking_permitted,amenities__barrier_free_entrances_ramps,amenities__visual_aids,amenities__accessible_washrooms_in_suite,amenities__heat,amenities__hydro,amenities__water,amenities__cable_tv,amenities__internet,amenities__laundry_unit,amenities__laundry_building,amenities__dishwasher,amenities__fridge_freezer,amenities__yard,amenities__balcony,amenities__building_security,amenities__building_elevator,amenities__building_gym,amenities__bycycle_parking,amenities__storage_space,agreement_type_encoded,days_until_move_in
2096.0,2.0,1.0,1200.0,1.75,44.655507,-63.62425972067901,1.0,False,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,0,35
1700.0,1.0,1.0,500.0,3.4,44.6275425,-63.62177,1.0,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,0,35
2233.0,2.0,1.0,500.0,4.47,44.6275425,-63.62177,1.0,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,0,35
1899.0,1.0,1.0,900.0,2.11,44.63415,-63.5768048,0.0,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,0,35
1829.0,1.0,1.0,900.0,2.03,44.648618,-63.5859487,0.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,True,0,5
1850.0,1.0,1.0,600.0,3.08,44.6352937,-63.5797651,0.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,0,36
1850.0,1.0,1.0,930.0,1.99,44.648618,-63.5859487,0.0,False,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,0,36
2695.0,2.0,2.0,1382.0,1.95,44.673302,-63.60897528153057,0.0,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True,0,35
1995.0,2.0,1.0,1050.0,1.9,44.62918260829263,-64.08194583128414,2.0,True,False,True,False,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False,True,0,35
2595.0,2.0,2.0,1033.0,2.51,44.65013635,-63.62396975570229,0.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,True,0,97
3150.0,3.0,1.0,500.0,6.3,44.6355463,-63.62820878627622,1.0,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,True,True,False,False,False,False,False,0,35
2495.0,2.0,2.0,1196.0,2.09,44.6349013,-63.6337927,1.0,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,True,False,True,True,False,False,0,36
1350.0,1.0,1.0,680.0,1.99,44.6622353,-63.63185115,1.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,False,True,True,False,False,False,0,35
2125.0,1.0,1.0,564.0,3.77,44.646277,-63.5904728,0.0,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,True,0,97
1495.0,1.0,1.0,400.0,3.74,44.64051245,-63.574092844852935,0.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,True,True,0,36
1600.0,1.0,1.0,500.0,3.2,44.6604914,-63.6301761,1.0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,0,6
1550.0,1.0,1.0,500.0,3.1,44.6464332,-63.6023041,1.0,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,True,True,False,False,False,False,False,0,36
1600.0,1.0,1.0,599.0,2.67,44.6416332,-63.5854928,0.0,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,0,67
1350.0,1.0,1.0,500.0,2.7,44.66099135,-63.61570245,1.0,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,0,6
6600.0,2.0,2.0,2020.0,3.27,44.6475534,-63.5728183,0.0,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,True,True,True,True,True,0,35
1799.0,2.0,1.0,750.0,2.4,44.64562895,-63.591799050000006,0.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,0,97
1995.0,1.0,1.0,500.0,3.99,44.648618,-63.5859487,0.0,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,False,True,True,False,False,False,0,35
